city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,order_for_place,place_type,state
,12,12644,1433.66575,2020-06-26,0.0271,343,881935.0,True,102,state,AC
Água Branca,2700102,24,118.83541,2020-06-26,0.0,0,20196.0,True,24,city,AL
Anadia,2700201,173,986.03591,2020-06-26,0.0058,1,17545.0,True,65,city,AL
Arapiraca,2700300,2323,1002.38622,2020-06-26,0.0133,31,231747.0,True,70,city,AL
Atalaia,2700409,407,862.56225,2020-06-26,0.0147,6,47185.0,True,62,city,AL
Barra de Santo Antônio,2700508,81,508.41075,2020-06-26,0.0617,5,15932.0,True,65,city,AL
Barra de São Miguel,2700607,89,1069.45446,2020-06-26,0.0337,3,8322.0,True,59,city,AL
Batalha,2700706,164,899.51733,2020-06-26,0.0183,3,18232.0,True,59,city,AL
Belém,2700805,23,529.46593,2020-06-26,0.0435,1,4344.0,True,36,city,AL
Belo Monte,2700904,12,178.99761,2020-06-26,0.0,0,6704.0,True,30,city,AL
Boca da Mata,2701001,421,1543.19856,2020-06-26,0.019,8,27281.0,True,73,city,AL
Branquinha,2701100,69,657.51858,2020-06-26,0.0145,1,10494.0,True,59,city,AL
Cacimbinhas,2701209,35,322.34297,2020-06-26,0.0571,2,10858.0,True,49,city,AL
Cajueiro,2701308,114,536.11738,2020-06-26,0.0439,5,21264.0,True,48,city,AL
Campestre,2701357,35,504.61361,2020-06-26,0.0857,3,6936.0,True,51,city,AL
Campo Alegre,2701407,415,727.26635,2020-06-26,0.0072,3,57063.0,True,57,city,AL
Campo Grande,2701506,56,585.89663,2020-06-26,0.0179,1,9558.0,True,52,city,AL
Canapi,2701605,10,56.42704,2020-06-26,0.1,1,17722.0,True,50,city,AL
Capela,2701704,303,1776.81346,2020-06-26,0.0033,1,17053.0,True,67,city,AL
Carneiros,2701803,24,264.28807,2020-06-26,0.0,0,9081.0,True,43,city,AL
Chã Preta,2701902,14,191.49227,2020-06-26,0.0,0,7311.0,True,31,city,AL
Coité do Nóia,2702009,47,439.53989,2020-06-26,0.0,0,10693.0,True,51,city,AL
Colônia Leopoldina,2702108,152,700.52539,2020-06-26,0.0197,3,21698.0,True,57,city,AL
Coqueiro Seco,2702207,121,2070.14542,2020-06-26,0.0413,5,5845.0,True,56,city,AL
Coruripe,2702306,622,1092.51225,2020-06-26,0.0257,16,56933.0,True,59,city,AL
Craíbas,2702355,205,846.44288,2020-06-26,0.0049,1,24219.0,True,49,city,AL
Delmiro Gouveia,2702405,197,378.72962,2020-06-26,0.0254,5,52016.0,True,64,city,AL
Dois Riachos,2702504,23,207.67494,2020-06-26,0.0,0,11075.0,True,42,city,AL
Estrela de Alagoas,2702553,26,142.81791,2020-06-26,0.0,0,18205.0,True,35,city,AL
Feira Grande,2702603,70,315.79897,2020-06-26,0.0143,1,22166.0,True,42,city,AL
Feliz Deserto,2702702,17,357.59361,2020-06-26,0.1176,2,4754.0,True,38,city,AL
Flexeiras,2702801,128,1000.78186,2020-06-26,0.0156,2,12790.0,True,50,city,AL
Girau do Ponciano,2702900,351,857.83415,2020-06-26,0.0114,4,40917.0,True,38,city,AL
Ibateguara,2703007,51,326.58811,2020-06-26,0.098,5,15616.0,True,69,city,AL
Igaci,2703106,61,237.99306,2020-06-26,0.0,0,25631.0,True,47,city,AL
Igreja Nova,2703205,65,265.31695,2020-06-26,0.0308,2,24499.0,True,35,city,AL
Importados/Indefinidos,,98,,2020-06-26,0.0714,7,,True,90,city,AL
Inhapi,2703304,3,16.31765,2020-06-26,0.0,0,18385.0,True,51,city,AL
Jacaré dos Homens,2703403,8,152.29393,2020-06-26,0.0,0,5253.0,True,35,city,AL
Jacuípe,2703502,32,455.77553,2020-06-26,0.0312,1,7021.0,True,42,city,AL
Japaratinga,2703601,89,1064.46597,2020-06-26,0.0112,1,8361.0,True,48,city,AL
Jaramataia,2703700,13,225.30329,2020-06-26,0.0,0,5770.0,True,56,city,AL
Jequiá da Praia,2703759,239,2063.90328,2020-06-26,0.0167,4,11580.0,True,56,city,AL
Joaquim Gomes,2703809,112,466.80282,2020-06-26,0.0625,7,23993.0,True,57,city,AL
Jundiá,2703908,13,312.87605,2020-06-26,0.2308,3,4155.0,True,45,city,AL
Junqueiro,2704005,321,1298.17608,2020-06-26,0.0187,6,24727.0,True,59,city,AL
Lagoa da Canoa,2704104,109,610.57585,2020-06-26,0.0275,3,17852.0,True,59,city,AL
Limoeiro de Anadia,2704203,99,345.73075,2020-06-26,0.0202,2,28635.0,True,65,city,AL
Maceió,2704302,14237,1397.22537,2020-06-26,0.04,569,1018948.0,True,108,city,AL
Major Isidoro,2704401,142,717.02686,2020-06-26,0.0141,2,19804.0,True,49,city,AL
Maragogi,2704500,279,853.10665,2020-06-26,0.0287,8,32704.0,True,64,city,AL
Maravilha,2704609,19,207.35567,2020-06-26,0.1053,2,9163.0,True,47,city,AL
Marechal Deodoro,2704708,1231,2371.82328,2020-06-26,0.0114,14,51901.0,True,85,city,AL
Maribondo,2704807,140,1055.48854,2020-06-26,0.0357,5,13264.0,True,67,city,AL
Mar Vermelho,2704906,14,398.40637,2020-06-26,0.0,0,3514.0,True,42,city,AL
Mata Grande,2705002,7,27.76015,2020-06-26,0.0,0,25216.0,True,37,city,AL
