city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,order_for_place,place_type,state
Igarapé-Miri,1503309,964,1537.52911,2020-06-26,0.0311,30,62698.0,True,61,city,PA
Importados/Indefinidos,,0,,2020-06-26,0.0,0,,True,67,city,PA
Inhangapi,1503408,50,426.94902,2020-06-26,0.08,4,11711.0,True,66,city,PA
Ipixuna do Pará,1503457,367,572.96302,2020-06-26,0.0245,9,64053.0,True,58,city,PA
Irituia,1503507,262,804.91551,2020-06-26,0.0229,6,32550.0,True,61,city,PA
Itaituba,1503606,2344,2315.13032,2020-06-26,0.0171,40,101247.0,True,92,city,PA
Itupiranga,1503705,156,292.85325,2020-06-26,0.0385,6,53269.0,True,48,city,PA
Jacareacanga,1503754,370,4490.83627,2020-06-26,0.0189,7,8239.0,True,49,city,PA
Jacundá,1503804,398,672.80872,2020-06-26,0.0226,9,59155.0,True,58,city,PA
Juruti,1503903,542,935.40203,2020-06-26,0.0923,50,57943.0,True,72,city,PA
Limoeiro do Ajuru,1504000,473,1634.69846,2020-06-26,0.0254,12,28935.0,True,63,city,PA
Mãe do Rio,1504059,329,1093.85909,2020-06-26,0.0608,20,30077.0,True,67,city,PA
Magalhães Barata,1504109,114,1333.6453,2020-06-26,0.0702,8,8548.0,True,52,city,PA
Marabá,1504208,3517,1258.9986,2020-06-26,0.0378,133,279349.0,True,95,city,PA
Maracanã,1504307,97,329.11478,2020-06-26,0.1237,12,29473.0,True,58,city,PA
Marapanim,1504406,340,1199.88707,2020-06-26,0.0471,16,28336.0,True,72,city,PA
Marituba,1504422,616,468.36627,2020-06-26,0.0909,56,131521.0,True,87,city,PA
Medicilândia,1504455,349,1104.53524,2020-06-26,0.0115,4,31597.0,True,52,city,PA
Melgaço,1504505,185,668.98098,2020-06-26,0.0378,7,27654.0,True,60,city,PA
Mocajuba,1504604,674,2164.69681,2020-06-26,0.0267,18,31136.0,True,61,city,PA
Moju,1504703,1137,1384.99769,2020-06-26,0.0255,29,82094.0,True,58,city,PA
Mojuí dos Campos,1504752,248,1541.905,2020-06-26,0.0323,8,16084.0,True,45,city,PA
